kohvi-ajastus-ja-uni	Caffeine effects on sleep taken 0, 3, or 6 hours before going to bed	https://pubmed.ncbi.nlm.nih.gov/24235903/
alkohol-ja-uni	Alcohol, Wine, and Sleep in Adults: Insights from a Narrative Review	https://pmc.ncbi.nlm.nih.gov/articles/PMC12942847/
soomise-ajastus-ja-uni	Chronobiological perspectives: Association between meal timing and sleep quality	https://pmc.ncbi.nlm.nih.gov/articles/PMC11293727/
unetoidud-kiivi-kirss	Effect of tart cherry juice (Prunus cerasus) on melatonin levels and enhanced sleep quality	https://pubmed.ncbi.nlm.nih.gov/22038497/
trenni-ajastus-ja-uni	Dose-response relationship between evening exercise and sleep	https://pmc.ncbi.nlm.nih.gov/articles/PMC12000559/
magamistoa-co2-ja-ventilatsioon	New research on bedroom ventilation and sleep quality suggests that building standards should be revisited (ASHRAE 1837-RP)	https://www.tandfonline.com/doi/full/10.1080/23744731.2025.2531317
valge-mura-ja-uni	What Is White Noise?	https://www.sleepfoundation.org/noise-and-sleep/white-noise
hommikune-paevavalgus	Morning light exposure: a potential modifier of cardiovascular risk factor	https://www.sciencedirect.com/science/article/abs/pii/S0306987725000933
lounauinaku-teadus	NASA Nap: How to Power Nap Like an Astronaut	https://www.sleepfoundation.org/sleep-hygiene/nasa-nap
rem-uni-selgitatud	Brain Basics: Understanding Sleep	https://www.ninds.nih.gov/health-information/public-education/brain-basics/brain-basics-understanding-sleep
unemuudid-2026	Common Sleep Myths Compromise Good Sleep & Health	https://nyulangone.org/news/common-sleep-myths-compromise-good-sleep-health
aasta-unetusega	Management of Chronic Insomnia Disorder in Adults: A Clinical Practice Guideline From the American College of Physicians	https://www.acpjournals.org/doi/10.7326/M15-2175
padja-korguse-teadus	Ergonomic Consideration in Pillow Height Determinants and Evaluation	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8544534/
teki-materjal-vill-vs-puuvill	The effects of fabric for sleepwear and bedding on sleep at ambient temperatures of 17°C and 22°C	https://pubmed.ncbi.nlm.nih.gov/27217803/
myyt-viis-tundi-und	Common Sleep Myths Compromise Good Sleep & Health	https://nyulangone.org/news/common-sleep-myths-compromise-good-sleep-health
myyt-norskamine-ohutu	Sleep Apnea Symptoms and Risks: 6 Myths to Know	https://www.hopkinsmedicine.org/health/conditions-and-diseases/sleep-apnea-symptoms-and-risks-6-myths-to-know
myyt-nadalavahetus-magamine	Sleep Debt: The Hidden Cost of Insufficient Rest	https://www.sleepfoundation.org/how-sleep-works/sleep-debt-and-catch-up-sleep
myyt-uinun-kohe	Debunking sleep myths	https://www.npr.org/2025/09/15/nx-s1-5539290/debunking-sleep-myths
myyt-alkohol-aitab-uinuda	4 common sleep myths, debunked	https://www.popsci.com/health/sleep-myths/
myyt-melatoniin-unerohi	Optimizing the Time and Dose of Melatonin as a Sleep-Promoting Drug: A Systematic Review of Randomized Controlled Trials and Dose-Response Meta-Analysis	https://pubmed.ncbi.nlm.nih.gov/38888087/
myyt-trenn-enne-magamist	Dose-response relationship between evening exercise and sleep	https://pmc.ncbi.nlm.nih.gov/articles/PMC12000559/
myyt-nutikell-tapne	Performance of consumer wrist-worn sleep tracking devices compared to polysomnography: a meta-analysis	https://pubmed.ncbi.nlm.nih.gov/39484805/
